model_name,group_size,relevance_threshold,num_recommended_items,best_hyperparams,RMSE_group_ratings,RMSE_user_ratings,Precision@k,Recall@k,Coverage
SVD,3,3.5,5,"{'n_factors': 200, 'n_epochs': 40, 'lr_all': 0.01, 'reg_all': 0.1}",0.8804339410775935,0.9063806168260169,0.8423645320197044,0.13006036241920604,1.0
SVD,3,3.5,10,,0.8804339410775935,0.9063806168260169,0.8339901477832513,0.2525460234772488,1.0
SVD,3,4.0,5,,0.8804339410775935,0.9063806168260169,0.747783251231527,0.14025025117196346,0.8916256157635468
SVD,3,4.0,10,,0.8804339410775935,0.9063806168260169,0.723152709359606,0.26768829154745394,0.8916256157635468
SVD,3,4.5,5,,0.8804339410775935,0.9063806168260169,0.43743842364532026,0.16846077146581287,0.2955665024630542
SVD,3,4.5,10,,0.8804339410775935,0.9063806168260169,0.4142857142857143,0.3168109334715736,0.2955665024630542
SVD,5,3.5,5,"{'n_factors': 100, 'n_epochs': 30, 'lr_all': 0.01, 'reg_all': 0.1}",0.8780920774108961,0.9223364294631742,0.8327868852459016,0.0757481494720153,1.0
SVD,5,3.5,10,,0.8780920774108961,0.9223364294631742,0.8311475409836068,0.14948110164857684,1.0
SVD,5,4.0,5,,0.8780920774108961,0.9223364294631742,0.7295081967213114,0.08249459297835453,0.9344262295081968
SVD,5,4.0,10,,0.8780920774108961,0.9223364294631742,0.7245901639344263,0.16111142385505772,0.9344262295081968
SVD,5,4.5,5,,0.8780920774108961,0.9223364294631742,0.4360655737704919,0.09830958243465245,0.23770491803278687
SVD,5,4.5,10,,0.8780920774108961,0.9223364294631742,0.4188524590163934,0.19555016856108698,0.23770491803278687
SVD,10,3.5,5,"{'n_factors': 50, 'n_epochs': 40, 'lr_all': 0.005, 'reg_all': 0.1}",0.8706673047957918,0.941450418201926,0.8524590163934423,0.04316172902747559,1.0
SVD,10,3.5,10,,0.8706673047957918,0.941450418201926,0.8459016393442623,0.08577781914723133,1.0
SVD,10,4.0,5,,0.8706673047957918,0.941450418201926,0.7081967213114753,0.04684293284925651,0.9508196721311475
SVD,10,4.0,10,,0.8706673047957918,0.941450418201926,0.718032786885246,0.09489067684985138,0.9508196721311475
SVD,10,4.5,5,,0.8706673047957918,0.941450418201926,0.3901639344262295,0.0632638350455798,0.11475409836065574
SVD,10,4.5,10,,0.8706673047957918,0.941450418201926,0.37704918032786894,0.12048884431192045,0.11475409836065574
KNNBaseline,3,3.5,5,"{'k': 7, 'sim_options': {'name': 'pearson_baseline', 'user_based': True, 'min_support': 2, 'shrinkage': 100}, 'bsl_options': {'method': 'als', 'reg_i': 10, 'reg_u': 15, 'n_epochs': 10}, 'verbose': False}",0.9309960416866989,0.9532071452787657,0.8177339901477833,0.12929374999981313,1.0
KNNBaseline,3,3.5,10,,0.9309960416866989,0.9532071452787657,0.8014778325123152,0.24328155702682114,1.0
KNNBaseline,3,4.0,5,,0.9309960416866989,0.9532071452787657,0.7093596059113301,0.13765277757182534,0.9901477832512315
KNNBaseline,3,4.0,10,,0.9309960416866989,0.9532071452787657,0.6965517241379312,0.25717713990472973,0.9901477832512315
KNNBaseline,3,4.5,5,,0.9309960416866989,0.9532071452787657,0.4118226600985222,0.1653911917869619,0.7931034482758621
KNNBaseline,3,4.5,10,,0.9309960416866989,0.9532071452787657,0.3985221674876847,0.30170872942597987,0.7931034482758621
KNNBaseline,5,3.5,5,"{'k': 7, 'sim_options': {'name': 'pearson_baseline', 'user_based': True, 'min_support': 10, 'shrinkage': 100}, 'bsl_options': {'method': 'als', 'reg_i': 10, 'reg_u': 15, 'n_epochs': 10}, 'verbose': False}",0.9342381986782959,0.9706285383571776,0.7983606557377049,0.07230359391105506,1.0
KNNBaseline,5,3.5,10,,0.9342381986782959,0.9706285383571776,0.8180327868852462,0.1480894821498316,1.0
KNNBaseline,5,4.0,5,,0.9342381986782959,0.9706285383571776,0.6836065573770491,0.07619178688083211,1.0
KNNBaseline,5,4.0,10,,0.9342381986782959,0.9706285383571776,0.7016393442622951,0.15714814433131113,1.0
KNNBaseline,5,4.5,5,,0.9342381986782959,0.9706285383571776,0.35409836065573774,0.0869616989008492,0.8934426229508197
KNNBaseline,5,4.5,10,,0.9342381986782959,0.9706285383571776,0.3827868852459016,0.1846091643580043,0.8934426229508197
KNNBaseline,10,3.5,5,"{'k': 7, 'sim_options': {'name': 'pearson_baseline', 'user_based': True, 'min_support': 2, 'shrinkage': 100}, 'bsl_options': {'method': 'als', 'reg_i': 10, 'reg_u': 15, 'n_epochs': 10}, 'verbose': False}",0.9361243813036901,0.9905154695191326,0.7639344262295081,0.039245600047590534,1.0
KNNBaseline,10,3.5,10,,0.9361243813036901,0.9905154695191326,0.7688524590163933,0.08039065926033574,1.0
KNNBaseline,10,4.0,5,,0.9361243813036901,0.9905154695191326,0.642622950819672,0.042859603848395184,1.0
KNNBaseline,10,4.0,10,,0.9361243813036901,0.9905154695191326,0.6442622950819671,0.08634733727784188,1.0
KNNBaseline,10,4.5,5,,0.9361243813036901,0.9905154695191326,0.3081967213114754,0.047819792466339134,0.9508196721311475
KNNBaseline,10,4.5,10,,0.9361243813036901,0.9905154695191326,0.319672131147541,0.10207758087925378,0.9508196721311475
